url,slug,date,ticker,reliable_date
https://thebearcave.substack.com/p/problems-at-coinbase-coin,/p/problems-at-coinbase-coin,2023-02-13,COIN,False
https://thebearcave.substack.com/p/more-problems-at-medical-properties,/p/more-problems-at-medical-properties,2023-02-13,,False
https://thebearcave.substack.com/p/problems-at-rumble-rum,/p/problems-at-rumble-rum,2023-02-13,RUM,False
https://thebearcave.substack.com/p/problems-at-intuit-intu,/p/problems-at-intuit-intu,2023-02-14,INTU,False
https://thebearcave.substack.com/p/problems-at-silvergate-capital-si,/p/problems-at-silvergate-capital-si,2023-02-14,SI,False
https://thebearcave.substack.com/p/more-problems-at-rumble-rum,/p/more-problems-at-rumble-rum,2023-02-15,RUM,False
https://thebearcave.substack.com/p/problems-at-six-flags-entertainment,/p/problems-at-six-flags-entertainment,2023-02-15,,False
https://thebearcave.substack.com/p/problems-at-planet-fitness-plnt,/p/problems-at-planet-fitness-plnt,2023-02-16,PLNT,False
https://thebearcave.substack.com/p/problems-at-the-beauty-health-co,/p/problems-at-the-beauty-health-co,2023-02-16,,False
https://thebearcave.substack.com/p/problems-at-symbotic-sym,/p/problems-at-symbotic-sym,2023-03-02,SYM,False
https://thebearcave.substack.com/p/more-problems-at-coinbase-coin,/p/more-problems-at-coinbase-coin,2023-03-13,COIN,False
https://thebearcave.substack.com/p/problems-at-airbnb-abnb,/p/problems-at-airbnb-abnb,2023-04-06,ABNB,False
https://thebearcave.substack.com/p/problems-at-hercules-capital-htgc,/p/problems-at-hercules-capital-htgc,2023-04-21,HTGC,False
https://thebearcave.substack.com/p/problems-at-triplepoint-venture-growth,/p/problems-at-triplepoint-venture-growth,2023-05-02,,False
https://thebearcave.substack.com/p/problems-at-allegro-microsystems,/p/problems-at-allegro-microsystems,2023-05-18,,False
https://thebearcave.substack.com/p/problems-at-palantir-technologies,/p/problems-at-palantir-technologies,2023-06-01,,True
https://thebearcave.substack.com/p/problems-at-tattooed-chef-ttcf,/p/problems-at-tattooed-chef-ttcf,2023-06-30,,True
https://thebearcave.substack.com/p/problems-at-applied-digital-apld,/p/problems-at-applied-digital-apld,2023-07-06,APLD,True
https://thebearcave.substack.com/p/problems-at-embark-technology-embk,/p/problems-at-embark-technology-embk,2023-07-09,,True
https://thebearcave.substack.com/p/problems-at-hershey-hsy,/p/problems-at-hershey-hsy,2023-07-20,HSY,True
https://thebearcave.substack.com/p/problems-at-xp-inc-xp,/p/problems-at-xp-inc-xp,2023-08-03,XP,True
https://thebearcave.substack.com/p/problems-at-oddity-tech-odd,/p/problems-at-oddity-tech-odd,2023-09-07,ODD,True
https://thebearcave.substack.com/p/problems-at-coca-cola-ko,/p/problems-at-coca-cola-ko,2023-09-21,KO,True
https://thebearcave.substack.com/p/even-more-problems-at-rumble-rum,/p/even-more-problems-at-rumble-rum,2023-10-05,RUM,True
https://thebearcave.substack.com/p/problems-at-lifestance-health-lfst,/p/problems-at-lifestance-health-lfst,2023-10-19,LFST,True
https://thebearcave.substack.com/p/even-more-problems-at-roblox-rblx,/p/even-more-problems-at-roblox-rblx,2023-10-25,RBLX,True
https://thebearcave.substack.com/p/problems-at-progress-software-prgs,/p/problems-at-progress-software-prgs,2023-11-02,PRGS,True
https://thebearcave.substack.com/p/problems-at-axos-financial-ax,/p/problems-at-axos-financial-ax,2023-11-16,AX,True
https://thebearcave.substack.com/p/problems-at-flywire-flyw,/p/problems-at-flywire-flyw,2023-12-07,FLYW,True
https://thebearcave.substack.com/p/problems-at-chegg-chgg,/p/problems-at-chegg-chgg,2024-01-04,CHGG,True
https://thebearcave.substack.com/p/problems-at-a-6-billion-recent-tech,/p/problems-at-a-6-billion-recent-tech,2024-01-18,TECH,True
https://thebearcave.substack.com/p/problems-at-a-billion-dollar-mess,/p/problems-at-a-billion-dollar-mess,2024-02-01,,True
https://thebearcave.substack.com/p/more-problems-at-b-riley-rily,/p/more-problems-at-b-riley-rily,2024-02-15,RILY,True
https://thebearcave.substack.com/p/problems-at-an-ark-invest-favorite,/p/problems-at-an-ark-invest-favorite,2024-03-07,,True
https://thebearcave.substack.com/p/more-problems-at-hershey-hsy,/p/more-problems-at-hershey-hsy,2024-03-30,HSY,True
https://thebearcave.substack.com/p/problems-at-marqeta-mq,/p/problems-at-marqeta-mq,2024-04-04,MQ,True
https://thebearcave.substack.com/p/problems-at-primerica-pri,/p/problems-at-primerica-pri,2024-04-18,PRI,True
https://thebearcave.substack.com/p/more-problems-at-exp-world-holdings,/p/more-problems-at-exp-world-holdings,2024-05-01,,True
https://thebearcave.substack.com/p/problems-at-amc-entertainment-amc,/p/problems-at-amc-entertainment-amc,2024-05-16,AMC,True
https://thebearcave.substack.com/p/more-problems-at-rci-hospitality,/p/more-problems-at-rci-hospitality,2024-05-30,,True
